Nº;Matricula;Placa policial;Código vehiculo;Nombre vehiculo;Categoria;Convenio
516;ASD123;121;--;Vehículo policial;--;
517;AKSN0471;--;obeysport;Obey Sport GT;VIP;
518;MESL7363;--;asterope;Asterope;Sedans;
519;BXZK0082;--;sultan3;Sultan Classic Custom;Deportivo;
520;UJJF5650;--;nightblade;Nightblade;Motos;
521;MKUP0070;--;asbo;Asbo;Compactos;
522;FJCS6893;--;blista;Blista;Compactos;
523;SK;--;daemon2;Daemon Custom;Motos;
524;TIRL4959;--;akuma;Akuma;Motos;
525;CUEV1057;--;asterope;Asterope;Sedans;
526;VIBF6000;--;akuma;Akuma;Motos;
527;NYRJ7636;--;akuma;Akuma;Motos;
528;RIKJ5160;--;ratbike;Rat Bike;Motos;
529;DLL479;137;--;Vehículo policial;--;SAPD
530;PDIG6343;--;sultanrs;Sultan RS;Deportivo;
531;ZNXT7025;--;sultan;Sultan;Deportivo;
532;ZHLD3293;--;primo;Primo;Sedans;
533;XGSK4001;--;gbmilano;Milano;VIP;
534;GMNL8722;--;sultan3;Sultan Classic Custom;Deportivo;
535;VQPA9897;--;gbnexusrr;Nexus RR;VIP;
536;OWVP6625;--;asterope;Asterope;Sedans;
537;XHGF9515;--;terminus;Terminus;Todoterrenos;
538;INQE3712;--;retinue2;Retinue MKII;Deportivo clasico;
539;QSSQ0713;--;sultanrs;Sultan RS;Deportivo;
540;ASUC5548;--;cognoscenti;Cognoscenti;Coupes;
541;VFKW4498;--;bf400;BF400;Motos;SAED
542;LPEF2185;--;comet5;Comet SR;Deportivo;
543;FCL890;815;--;Vehículo SAED;--;
544;SPL550;108;--;Vehículo policial;--;SAPD
545;QVRP8745;--;zr6gt;ZR6 GT;VIP;
546;QITA4153;--;iwagen;I-wagen;SUVs;
547;SQR566;811;--;Vehículo SAED;--;
548;MNZ268;--;akuma;Akuma;Motos;
549;QIP707;810;--;Vehículo SAED;--;
550;YIXI7914;--;furia;Furia;Superdeportivo;
551;SKWN5474;--;daemon2;Daemon Custom;Motos;
552;DDBV0963;--;tailgater;Tailgater;Sedans;
553;RAS240;141;--;Vehículo policial;--;
554;XPLZ2752;--;asbo;Asbo;Compactos;
555;WBP966;163;--;Vehículo SAED;--;
556;DILP6617;--;zenith;Benefactor Zenith;VIP;
557;FTNT7759;--;dorado;Dorado;SUVs;
558;RQAU0925;--;akuma;Akuma;Motos;
559;HIPS2985;--;620gts;620 GTS;VIP;
560;NNC317;462;--;Vehículo policial;--;SAPD
561;VKJK6485;--;rhinehart;Rhinehart;Sedans;Sushi Bar
562;SFX301;123;--;Vehículo policial;--;
563;TBU189;123;--;Vehículo policial;--;
564;TLZ240;144;--;Vehículo policial;--;
565;XBUY3286;--;asbo;Asbo;Compactos;
566;VCQ682;111;--;Vehículo policial;--;
567;VOBN5712;--;primo;Primo;Sedans;
568;NJOV5337;--;s790anim;S790 Animated;VIP;
569;HXL903;138;--;Vehículo policial;--;
570;JAGU6776;--;draugur;Draugur;Todoterrenos;SAED
571;01PQH719;--;bati;Bati 801;Motos;
572;FUWQ8471;--;bati;Bati 801;Motos;
573;IUK292;899;--;Vehículo SAED;--;
574;GELG5289;--;penumbra2;Penumbra FF;Deportivo;
575;PZRF6893;--;draugur;Draugur;Todoterrenos;BENNY's Original Motor Works
576;VRIB3519;--;akuma;Akuma;Motos;
577;ZRPR5499;--;zr6gt;ZR6 GT;VIP;
578;SVM770;123;--;Vehículo policial;--;
579;JIKY0500;--;brioso2;Brioso 300;Compactos;
580;EVYU6070;--;rhinehart;Rhinehart;Sedans;
581;RZZC8984;--;penumbra2;Penumbra FF;Deportivo;BENNY's Original Motor Works
582;QZP749;438;--;Vehículo policial;--;
583;TQM724;144;--;Vehículo policial;--;SAPD
584;KCPT5866;--;zion2;Zion Cabrio;Coupes;
585;BPFL9761;--;asea;Asea;Sedans;
586;RVWW6067;--;sanchez;Sanchez Livery;Motos;
587;UVNV5378;--;asterope2;Asterope GZ;Sedans;
588;WEJO1531;--;sandking;Sandking XL;Todoterrenos;
589;SKXU8024;--;asbo;Asbo;Compactos;
590;YMN506;--;akuma;Akuma;Motos;SAPD
591;AYRR8701;--;asterope2;Asterope GZ;Sedans;
592;ZHVK7985;--;cliffhanger;Cliffhanger;Motos;
593;AXQD7217;--;previon;Previon;Coupes;Megamall
594;QMEK1529;--;sultanrs;Sultan RS;Deportivo;
595;NNI930;431;--;Vehículo policial;--;
596;SGL198;123;--;Vehículo policial;--;
597;BIK185;438;--;Vehículo policial;--;
598;BBFH2423;--;thrust;Thrust;Motos;
599;ABKC7949;--;bmx;BMX;Bicicletas;
600;FOHV2172;--;tribike;Whippet Race Bike;Bicicletas;
601;VFKR7431;--;issi2;Issi;Compactos;
602;URP383;918;--;Vehículo policial;--;
603;TQM909;462;--;Vehículo policial;--;SAPD
604;PHN130;138;--;Vehículo policial;--;SAPD
605;UOJL6318;--;akuma;Akuma;Motos;
606;OPK060;143;--;Vehículo policial;--;SAPD
607;CVU116;108;--;Vehículo policial;--;
608;JIIK7095;--;slamvan;Slam Van;Muscle;
609;IVZ062;--;elegy;Elegy Retro Custom;Deportivo;
610;FYWJ0221;--;rapidgt2;Rapid GT Convertible;Deportivo;
611;AQBW1053;--;sentinel3;Sentinel Classic;Coupes;
612;SEH860;121;--;Vehículo policial;--;
613;FNNJ1275;--;ruffian;Ruffian;Motos;
614;KLE618;823;--;Vehículo SAED;--;
615;XXDQ5419;--;zr6gt;ZR6 GT;VIP;
616;FLHJ5892;--;elegy;Elegy Retro Custom;Deportivo;BENNY's Original Motor Works
617;IQB838;139;--;Vehículo policial;--;SAPD
618;UOK803;--;--;Vehículo policial;--;
619;FUEF4006;--;dominator8;Dominator GTT;Muscle;
620;OWA363;121;--;Vehículo policial;--;SAPD
621;QHJQ6143;--;elegy;Elegy Retro Custom;Deportivo;
622;DZBY9751;--;g4m82;G4 M82;VIP;
623;KKL878;140;--;Vehículo policial;--;
624;VQYJ5797;--;620gts;620 GTS;VIP;
625;GCBV8279;--;trophytruck2;Desert Raid;Todoterrenos;
626;ZHPW1839;--;asterope;Asterope;Sedans;
627;MUPD0741;--;previon;Previon;Coupes;
628;HHBK9949;--;zombiea;Zombie Bobber;Motos;
629;EHVR3327;--;stanier;Stanier;Sedans;
630;VFYR7431;--;issi2;Issi;Compactos;
631;TDCQ7821;--;asterope;Asterope;Sedans;
632;RCLK9478;--;comet5;Comet SR;Deportivo;
633;PMUD7012;--;paragon3;Paragon S;Deportivo;
634;XLPW7852;--;furia;Furia;Superdeportivo;
635;HCWM7019;--;gbemerussb1;Emerus SB1;VIP;
636;YMQ96303;--;sultan3;Sultan Classic Custom;Deportivo;
637;JTCX9548;--;sultan3;Sultan Classic Custom;Deportivo;
638;ANLJ9436;--;sultan3;Sultan Classic Custom;Deportivo;
639;CFQ620;855;--;Vehículo SAED;--;
640;IHNQT476;--;ratbike;Rat Bike;Motos;
641;IOJM4125;--;kanjo;Blista Kanjo;Compactos;
642;RXUH9908;--;previon;Previon;Coupes;
643;FHBJ8344;--;daemon;Daemon;Motos;
644;WNE4162;--;daemon;Daemon;Motos;
645;YQR112;--;--;Vehículo policial;--;
646;UYTM04428;--;buffalo4;Buffalo STX;Muscle;
647;AMBC8793;--;primo;Primo;Sedans;
648;BASC0335;--;manchez;Manchez;Motos;
649;ZCK4931;139;--;Vehículo policial;--;SAPD
650;GXZ9627;140;--;Vehículo policial;--;SAPD
651;OOXF7341;--;manchez2;Manchez Scout;Motos;
652;QAB1617;--;akuma;Akuma;Motos;
653;SIWFB2065;--;issi3;Issi Classic;Compactos;
654;KILK6190;--;italigto;Itali GTO;Deportivo;
655;GOZD2810;--;asea;Asea;Sedans;N/A
656;SRJR8408;--;euros;Euros;Deportivo;Sushi Bar
657;PITL5909;--;penumbra;Penumbra;Deportivo;
658;DGZ¿?445;--;--;Vehículo policial;--;
659;DCEW6672;--;rebla;Rebla GTS;SUVs;
660;PHHW64¿?;130;--;Vehículo policial;--;SAPD
661;OQWM5829;--;dominator;Dominator;Muscle;
662;NSDJ488¿?;--;issi7;Issi Sport;Compactos;
663;ANX773;837;--;Vehículo SAED;--;
664;CFC42299;--;paragon;Paragon;Deportivo;
665;OMOA9064;--;bf400;BF400;Motos;
666;RPY8099;--;emperor;Emperor;Sedans;
667;ZGJ4182;302;--;Vehículo policial;--;
668;BCON5682;--;elegy2;Elegy RH8;Deportivo;Sushi Bar
669;GXNJ6093;--;primo;Primo;Muscle;
670;JTL10989;--;gbcomets2r;Comet S2R;VIP;
671;ILHKE9533;--;ratloader2;Ratloader 2;Muscle;
672;MFEW1290;--;blista;Blista;Compactos;
673;HYK850;132;--;Vehículo policial;--;
674;IDFW4784;--;youga3;Youga Classic 4x4;Furgonetas;
675;BMDO841;--;ratbike;Rat Bike;Motos;
676;QGOS081;814;--;Vehículo SAED;--;SAED
677;HZX4290;--;--;Vehículo policial;--;
678;PEWV950;--;buffalo4;Buffalo STX;Muscle;
679;MFSV2313;--;blazer3;Blazer Hot Rod;Todoterrenos;
680;IBUV302¿?;--;ixr;IXR;VIP;
681;TDOR5493;--;asbo;Asbo;Compactos;N/A
682;IOE6233;817;--;Vehículo SAED;--;SAED
683;XMIXY561;--;vortex;Vortex;Motos;
684;ZXZ5853;100;--;Vehículo policial;--;SAPD
685;KDID6873;--;previon;Previon;Coupes;
686;GIGM6653;--;blista;Blista;Compactos;
687;GVIM2635;--;asbo;Asbo;Compactos;
688;PVWM2245;--;hexer;Hexer;Motos;
689;WEC0558;117;--;Vehículo policial;--;
690;LLFX8069;--;buffalo4;Buffalo STX;Muscle;
691;HZXA2466;--;asbo;Asbo;Compactos;
692;XTNH9576;--;elegy;Elegy Retro Custom;Deportivo;
693;CJQ364;146;--;Vehículo policial;--;
694;CEF414;810;--;Vehículo SAED;--;
695;MKRB6994;--;blista;Blista;Compactos;N/A
696;XMJX1120;--;nightblade;Nightblade;Motos;
697;GZT0675;--;620gts;620 GTS;VIP;
698;JAGP7189;--;gbcomets2rc;Comet S2RC;VIP;
699;NXUL8443;--;N/A;N/A;--;
700;QNNX1051;--;dominator;Dominator;Muscle;
701;MZOT7951;--;buffalo;Buffalo;Muscle;SAED
702;WJUI777;811;--;Vehículo SAED;--;
703;YUJF2786;--;nightblade;Nightblade;Motos;
704;WPQL4041;--;buffalo4;Buffalo STX;Muscle;
705;AJZV6079;--;vagrant;Vagrant;Todoterrenos;
706;HQC7695;--;caracara2;Caracara 4x4;Todoterrenos;
707;JLT281;801;--;Vehículo SAED;--;
708;NKVF7569;--;asterope2;Asterope GZ;Sedans;
709;CIPX3355;--;tropos;Tropos Rallye;Deportivo;Sushi Bar
710;YGT8426;146;--;Vehículo policial;--;
711;AHAL74765;--;daemon;Daemon;Motos;
712;EFAG76;--;N/A;N/A;;
713;SLG9930;--;elegy;Elegy Retro Custom;Deportivo;Black Woods Saloon
714;CWXC9820;--;elegy;Elegy Retro Custom;Deportivo;
715;9BB1812N;--;sultan;Sultan;Deportivo;
716;YUF2706;--;nightblade;Nightblade;Motos;
717;PATG0771;--;primo2;Primo Custom;Sedans;BENNY's Original Motor Works
718;INKQ1324;--;dominator8;Dominator GTT;Muscle;
719;ZBGY0398;--;draugur;Draugur;Todoterrenos;
720;OEMK7059;--;daemon2;Daemon Custom;Motos;
721;BZBH3941;--;dominator7;Dominator ASP;Muscle;
722;TFBB??87;300;--;Vehículo policial;--;
723;SROUTB??;--;buffalo;Buffalo;Muscle;
724;BCR3383;102;--;Vehículo policial;--;
725;DJCP2240;--;daemon;Daemon;Motos;
726;AIYG0349;--;gargoyle;Gargoyle;Motos;
727;AEPS4296;--;previon;Previon;Coupes;Weedland
728;KPCY1175;--;asbo;Asbo;Compactos;N/A
729;MLCY6725;--;previon;Previon;Coupes;
730;XPECT084;--;elegy;Elegy Retro Custom;Deportivo;BENNY's Original Motor Works
731;JMM399;848;--;Vehículo SAED;--;
732;KILK6190;--;akuma;Akuma;Motos;Sushi Bar
733;FEF80280;--;s790anim;S790 Animated;VIP;
734;UWK821;--;--;Vehículo SAED;--;SAED
735;OCXB1599;--;iwagen;I-Wagen;SUVs;
736;ODJ4897;--;--;Vehículo policial;--;
737;FJY568;137;--;Vehículo policial;--;
738;OLDP3201;301;--;Vehículo policial;--;SAPD
739;HQDR4393;927;--;Vehículo policial;--;
740;IZJG1826;--;remus;Remus;Muscle;N/A
741;KYNDB094;--;asbo;Asbo;Compactos;Vanilla Unicorn
742;LLY9288;--;gbprospero;Prospero;VIP;Megamall
743;ZUI252;465;--;Vehículo policial;--;
744;WPG6250;--;akuma;Akuma;Motos;
745;QSV171;428;--;Vehículo policial;--;SAPD
746;CZOZ6795;--;dominator;Dominator;Muscle;Megamall
747;JITK7302;--;gbsidedwinder;Sidewinder;VIP;Vanilla Unicorn
748;CVH400;111;--;Vehículo policial;--;SAPD
749;NARH4789;--;akuma;Akuma;Motos;Weedland
750;KRG5082;303;--;Vehículo policial;--;SAPD
751;CV¿?428;428;--;Vehículo policial;--;
752;BJHFE7224;--;previon;Previon;Coupes;Import Garaje
753;YSDC06256;--;rapidgt2;Rapid GT Convertible;Deportivo;
754;OIN067FA;--;sultan;Sultan;Deportivo;N/A
755;EFE8903;--;s790;s790;VIP;
756;BDXC702;449;--;Vehículo policial;--;SAPD
757;FIJDY2930;--;shinobi;Shinobi;Motos;SAED
758;VATU3943;--;blista;Blista;Compactos;
759;CCJ4923;--;club;Club;Compactos;Badulaque central
760;AJOT3892;--;tailgater2;Tailgater S;Sedans;
761;HDFJ5491;--;asbo;Asbo;Compactos;Skyline Vibes
762;ZPFDS9072;--;rapidgt;Rapid GT;Deportivo;
763;TLES9027;--;briso2;Briso 300;Compactos;BENNY's Original Motor Works
764;GGC4602;--;akuma;Akuma;Motos;Pizzería Venecia
765;ROFHD5055;--;akuma;Akuma;Motos;
766;OHYDJ7322;--;dominator7;Dominator ASP;Muscle;
767;TQRP0874;--;calico;Calico GTF;Deportivo;Sushi Bar
768;GGEY5529;--;akuma;Akuma;Motos;
769;PYAH1429;100;--;Vehículo policial;--;
770;SVWHE949;--;akuma;Akuma;Motos;
771;IUW5555;125;--;Vehículo policial;--;
772;GXQR4047;--;primo;Primo;Sedans;
773;JUE543;455;--;Vehículo policial;--;
774;UDTA2219;--;tailgater2;Tailgater S;Sedans;Badulaque central
775;KZQY9245;--;s790;s790;VIP;Weedland
776;ARFW8703;--;omnisegt;Omnis e-GT;Deportivo;BurgerShot
777;WJET4225;--;trophytruck2;Desert Raid;Todoterrenos;L.S. Airlines
778;ISJK7763;--;contender;Contender;SUVs;
779;MXRIZ787;--;elegy;Elegy Retro Custom;Deportivo;SAED
780;YFXG5012;--;blazer3;Blazer Hot Rod;Todoterrenos;Weedland
781;FXGDT7522;--;primo;Primo;Sedans;
782;DWNP6962;--;issi3;Issi Classic;Compactos;
783;GVOA7213;--;pipistrello;Pipistrello;Motos;
784;ZSRG7252;--;akuma;Akuma;Motos;
785;CDEF3449;--;blista2;Blista Compact;Compactos;Weazel News
786;TXZNA6749;--;avarus;Avarus;Motos;Taller Pabeto
787;WZVH1553;--;rapidgt;Rapid GT;Deportivo;Pizzería Venecia
788;PFIY1126;146;--;Vehículo policial;--;SAPD
789;MZKZ4948;--;primo;Primo;Sedans;Weedland
790;LTLV9687;--;akuma;Akuma;Motos;N/A
791;DJRN9053;--;akuma;Akuma;Motos;SAPD
792;QFSES93;303;--;Vehículo policial;--;
793;IVZ6559;--;akuma;Akuma;Motos;SAPD
794;YZRK1853;--;akuma;Akuma;Motos;
795;TORI01;--;l35;Walton L35;Todoterrenos;
796;PKF1270;449;--;Vehículo policial;--;SAPD
797;SFCE1809;--;l35;Walton L35;Todoterrentos;Helmut's
798;MDSZ6099;--;obejsport;Obey Sport GT;VIP;
799;XOP4969;--;warrener2;Warrener HKR;Sedans;N/A
800;VMIP7167;--;cypher;Cypher;Deportivo;
801;URYHI4630;--;dc500l;DC500 Limousine;VIP;Skyline Vibes
802;LHVSG1797;--;rapidgt;Rapid GT;Deportivo;SAED
803;3HH9155X;--;sultan;Sultan;Deportivo;Weedland
804;RYTAQ8844;--;kanjo;Blista Kanjo;Compactos;
805;PNTC9473;--;620gts;620 GTS;VIP;Pizzería Venecia
806;FMWV4168;--;terminus;Terminus;Todoterrenos;
807;LG0TI557;--;blista;Blista;Compactos;Megamall
808;OBXET7749;--;calico;Calico GTF;Deportivo;
809;PSDC4503;--;jugular;Jugular;Deportivo;SAPD
810;QDFE5150;--;asterope;Asterope;Sedans;N/A
811;UXL734;118;--;Vehículo policial;--;SAPD
